## 原因一：流量来源大幅萎缩

- **假设**：搜索引擎、社交媒体或付费广告渠道的流量因算法调整、竞价成本上升或政策限制而骤减。
- **验证方法**：
  - 拉取各渠道（自然搜索、竞价、短视频、联盟营销等）的月独立访客数（UV）同比数据。
  - 查看核心关键词的搜索排名变化、CPC（每次点击费用）及展现量趋势。
  - 访谈市场团队，确认是否有重大渠道投放暂停或平台规则变动。

## 原因二：用户转化率显著下降

- **假设**：商品价格竞争力减弱、页面体验变差、信任感降低（如差评增多、售后响应慢）导致加购到支付的转化率下滑。
- **验证方法**：
  - 对比漏斗数据：从访客→加购→提交订单→支付成功的各环节转化率同比。
  - 抽取高流量但低转化商品，检查其价格对比竞品、评价评分、详情页加载速度。
  - 分析客户咨询与退单原因统计，识别集中抱怨点（如运费高、缺货）。

## 原因三：客单价或复购率大幅下滑

- **假设**：用户每次购买金额降低（促销力度过大、连带销售失败），或老客户不再重复购买（产品生命周期结束、竞品分流）。
- **验证方法**：
  - 计算月均客单价（ARPU）与RFM模型中的复购率同比。
  - 查看促销活动期间客单价的分布：是否过度依赖低价爆款导致整体客单价下降。
  - 对30天/60天未复购的老客户做分组推送，测试活动召回响应率。

## 原因四：行业大盘或季节性波动导致整体需求下降

- **假设**：所在品类整体市场容量收缩（如疫情后消费降级、政策限制），或旺季窗口错位（如今年春节早于去年同期导致物流停运提前）。
- **验证方法**：
  - 查询第三方行业报告（如艾瑞、QuestMobile）中本品类整体GMV同比变化。
  - 对比竞品（同体量公司）公开财报或第三方监测的销售额趋势。
  - 拉取去年同期与今年同期的日订单量曲线，观察是否规律性下滑而非突发式下跌。

## 原因五（额外）：商品库存或供应链断裂导致缺货

- **假设**：热销品断货、新款延迟上线、供应商突发问题，造成大量页面显示“无货”或交期过长，用户流失。
- **验证方法**：
  - 统计各类目缺货SKU占比及缺货天数，并查看缺货期间对应品类的GMV损失。
  - 排查采购订单与物流节点，对比去年同期的到货准时率。
  - 分析用户访问缺货商品页后的跳出路径，是否直接离开或转向竞品。

---

### 小结与建议

建议依次从流量、转化、客单价/复购、外部环境四个维度排查，优先排查数据波动最大的环节。若验证结果为多个因素叠加，应针对每个因素制定独立复苏计划（如补投新渠道、优化详情页、启动老客召回、调整促销策略）。
